ID,date,var3,state,type,group,location,var6,var7
478374129,2014-02-21 00:00:00,-5523738232858020000,CA,1,production,SAN FRANCISCO-OAK-SAN JOSE,1819,10
586773529,2014-12-14 00:00:00,6130945824145480000,CA,2,production,SAN DIEGO,777,9
478072087,2014-02-02 00:00:00,-6412930927419320000,PA,3,production,PHILADELPHIA,1915,9
581571735,2014-04-12 00:00:00,-6268935348119510000,NY,4,production,NEW YORK,3855,9
584191771,2014-08-22 00:00:00,6031520308882290000,IL,5,production,CHICAGO,6750,15
587866083,2015-01-30 00:00:00,3809687958580200000,CT,6,production,HARTFORD & NEW HAVEN,1989,7
588787699,2015-02-15 00:00:00,3844011336622610000,WA,7,production,SEATTLE-TACOMA,5621,17
477910115,2014-01-23 00:00:00,5687430121289800000,IL,8,production,CHICAGO,10652,10
587579753,2015-01-18 00:00:00,8413333578602770000,TX,9,production,HOUSTON,2466,18
584963227,2014-09-24 00:00:00,3219444670833850000,CA,1,production,LOS ANGELES,12263,12
585638849,2014-10-25 00:00:00,-3647119537804190000,FL,2,production,MIAMI-FT. LAUDERDALE,8392,19
587547743,2015-01-17 00:00:00,6560411821824000000,NJ,3,production,NEW YORK,1094,14
582938115,2014-06-27 00:00:00,-887435864874495000,CA,4,production,SAN FRANCISCO-OAK-SAN JOSE,6967,14
587181095,2014-12-31 00:00:00,-6438737082175450000,CA,5,production,LOS ANGELES,4586,17
583691999,2014-07-31 00:00:00,7079891361297660000,MD,6,production,WASHINGTON. DC (HAGRSTWN),12688,22
588823833,2015-02-17 00:00:00,-5571907340352080000,TX,7,production,AUSTIN,8847,26
581769381,2014-04-23 00:00:00,8182307901488970000,WA,8,production,SEATTLE-TACOMA,3952,22
585386935,2014-10-13 00:00:00,-3817947542029860000,TX,9,production,HOUSTON,12319,26
582585449,2014-06-09 00:00:00,730281402257234000,FL,1,production,TAMPA-ST. PETE (SARASOTA),13671,22
582101111,2014-05-14 00:00:00,-383562079467814000,CA,2,production,LOS ANGELES,25095,28
583755819,2014-08-03 00:00:00,-256667936663720000,CA,3,production,LOS ANGELES,24537,23
588648719,2015-02-11 00:00:00,308682451646514000,NY,4,production,NEW YORK,22855,30
589188235,2015-03-02 00:00:00,8532684653446190000,VA,1,production,WASHINGTON. DC (HAGRSTWN),7744,27
585600727,2014-10-23 00:00:00,-5883573926549530000,VA,2,production,WASHINGTON. DC (HAGRSTWN),12157,31
580276143,2014-03-22 00:00:00,8021101995491140000,PA,3,production,PHILADELPHIA,4263,35
584368175,2014-08-29 00:00:00,-5846563436972550000,CA,4,production,LOS ANGELES,8161,28
584873991,2014-09-20 00:00:00,795535304887386000,CA,5,production,LOS ANGELES,6725,31
586078955,2014-11-13 00:00:00,-8992996716670710000,CA,6,production,LOS ANGELES,25488,33
584965863,2014-09-24 00:00:00,6761177936137590000,NJ,7,production,NEW YORK,18646,37
478086087,2014-02-03 00:00:00,5779584159674090000,VA,8,production,WASHINGTON. DC (HAGRSTWN),25,33
586755729,2014-12-13 00:00:00,-3808489431130860000,NJ,9,production,NEW YORK,40982,33
581978405,2014-05-06 00:00:00,6209422379349620000,CA,1,production,LOS ANGELES,43307,40
478196823,2014-02-10 00:00:00,-6524364516374580000,NJ,2,production,NEW YORK,14560,41
585854697,2014-11-03 00:00:00,-9021193529761920000,CA,3,production,SAN DIEGO,20881,36
